58,Omahuta Forest
87,Punaruku
93,Waitapu Bay
94,Northland Forest Park
99,Pukewharariki
100,Russell Forest
103,Blockhouse Bay
104,Sunnyhills
106,Glen Eden
107,Golflands
108,Weymouth
109,Flat Bush
110,Birkenhead
111,Massey
112,Greenhithe
113,Half Moon Bay
114,Waterview
115,Stanmore Bay
116,Onehunga
117,Coatesville
118,Red Beach
119,Clendon Park
120,Clover Park
121,Mellons Bay
122,Redvale
123,Manurewa
124,Awhitu
125,Manukau Heads
126,Ranui
127,Tairua
129,Mangere
130,Takanini
131,Whitianga
133,Matakatia
134,Pakuranga Heights
135,Mangere East
136,Schnapper Rock
137,Henderson
140,Whitford
141,Saint Johns
142,Pinehill
144,Highland Park
145,Papatoetoe
147,Wattle Downs
148,Mahurangi West
149,Torbay
150,Gulf Harbour
151,Milford
152,Browns Bay
153,Papakura
156,Otara
158,Dairy Flat
160,Pauanui
161,Glendene
163,Stillwater
164,New Lynn
165,Waiatarua
166,Forrest Hill
167,Tindalls Beach
168,East Tamaki
169,Herne Bay
170,Port Jackson
171,Oteha
172,Port Charles
173,Coromandel
174,Point Chevalier
175,Colville
176,Amodeo Bay
177,Kereta
178,Wyuna Bay
179,Te Kouma
180,Manaia
181,Waikawau
182,Preece Point
183,Te Mata
184,Tapu
185,Ruamahunga
186,Waiomu
187,Waiau
188,Te Puru
189,Thornton Bay
190,Coromandel Forest Park
191,Tuateawa
192,Kennedy Bay
193,Otapaurau
194,Kaimarama
195,Whangapoua
196,Te Rerenga
197,Matarangi
198,Coroglen
200,Rings Beach
201,Kuaotunu
202,Ferry Landing
203,Simpsons Beach
204,Purangi
205,Cooks Beach
206,Hikuai
207,Opito Bay
208,Hahei
209,Whenuakite
212,Wiri
213,Hot Water Beach
214,Duck Creek
215,Pumpkin Hill
216,Pukepoto
217,Opoutere
218,Helensville
220,Mount Roskill
221,Waitakere
223,Favona
225,Fairview Heights
226,Sunnynook
228,Silverdale
231,Albany
232,Oneroa
235,Waipoua Forest
236,Waipoua Kauri Forest
239,Mataraua Forest
240,Shelly Beach
242,Marlborough Forest
244,Kaihu Forest
251,Huapai
256,Parakai
260,Pukehuia
266,Lucas Heights
271,Wheki Valley
275,Woodhill Forest
281,South Head
305,Muriwai
310,Whangarei Airport
318,Glorit
323,Makarau
324,Kaukapakapa
325,Waimauku
328,Bethells Beach
329,Piha
330,Three Kings
334,Karekare
336,Kumeu
337,Huia
341,Anawhata
343,Taupaki
345,Waitoki
346,Swanson
347,Henderson Valley
349,Riverhead
351,Foster Bay
352,Whenuapai
353,Oratia
355,Puhoi
356,Cornwallis
358,Titirangi
359,Parau
360,Wainui
361,West Harbour
362,Laingholm
363,Te Atatu Peninsula
364,Sunnyvale
366,Paremoremo
367,Hobsonville
368,Te Atatu South
369,Herald Island
370,Pohuehue
371,Orewa
372,Kelston
373,Green Bay
375,Avondale
376,Albany Heights
377,Beach Haven
378,Waiwera
379,Hatfields Beach
380,Rosedale
381,Bayview
382,Birkdale
383,Soldiers Bay
384,Mount Albert
385,New Windsor
386,Sandspit
387,Unsworth Heights
388,Glenfield
389,Chatswood
390,Westmere
391,Lynfield
393,Snells Beach
394,Okura
395,Totara Vale
396,Hillcrest
397,Algies Bay
399,Mahurangi East
400,Arkles Bay
401,Long Bay
402,Northcross
403,Windsor Park
404,Wairau Valley
405,Northcote
406,Herne Bay
407,Ponsonby
408,Grey Lynn
409,Western Springs
410,Sandringham
412,Stanmore Bay
413,Rothesay Bay
414,Murrays Bay
415,Mairangi Bay
416,Northcote Point
417,Saint Marys Bay
418,Freemans Bay
419,Kingsland
420,Mount Eden
421,Hillsborough
424,Manly
425,Waiake
426,Murrays Bay
427,Campbells Bay
428,Takapuna
429,Auckland Central
430,Eden Terrace
432,Castor Bay
433,Grafton
434,Epsom
435,Royal Oak
436,Mangere Bridge
437,Auckland Airport
438,Waiau Pa
439,Polkinghornes Bay
440,Hauraki
441,Bayswater
442,Stanley Point
443,Parnell
444,Newmarket
446,Belmont
447,Remuera
448,Greenlane
449,Burswood
450,Army Bay
451,Narrow Neck
452,Devonport
453,Mechanics Bay
454,One Tree Hill
455,Ellerslie
456,Penrose
457,Karaka
458,Orakei
459,Kawau Island
460,Meadowbank
461,Mount Wellington
462,Otahuhu
463,Mission Bay
464,Kohimarama
465,Otahuhu
466,Saint Heliers
467,Glen Innes
468,Panmure
469,Panmure Basin
470,Glendowie
471,Point England
472,Pakuranga
473,Manukau
474,Farm Cove
475,Goodwood Heights
476,Totara Heights
